# iteration,cost
0.000000000000000000e+00,1.172281835780857873e-01
1.000000000000000000e+00,1.172229326524172749e-01
2.000000000000000000e+00,1.155829611888350428e-01
3.000000000000000000e+00,1.140825712769572842e-01
4.000000000000000000e+00,1.134398688872177846e-01
5.000000000000000000e+00,1.131342817845305548e-01
6.000000000000000000e+00,1.129307225641434931e-01
7.000000000000000000e+00,1.108132431186891753e-01
8.000000000000000000e+00,1.106068989188679075e-01
9.000000000000000000e+00,1.106068989188679075e-01
1.000000000000000000e+01,1.106020987582348319e-01
1.100000000000000000e+01,1.101032575954143666e-01
1.200000000000000000e+01,1.100888571135151123e-01
1.300000000000000000e+01,1.100875129320427193e-01
1.400000000000000000e+01,1.100875129320427193e-01
1.500000000000000000e+01,1.100684245115943621e-01
1.600000000000000000e+01,1.100568985467177130e-01
1.700000000000000000e+01,1.100556985064212179e-01
1.800000000000000000e+01,1.100556985064212179e-01
1.900000000000000000e+01,1.100448802949491323e-01
2.000000000000000000e+01,1.100436802547908460e-01
2.100000000000000000e+01,1.100349164560168458e-01
2.200000000000000000e+01,1.100348883593618432e-01
2.300000000000000000e+01,1.100237092219420454e-01
2.400000000000000000e+01,1.100225091817837869e-01
2.500000000000000000e+01,1.100117088203591970e-01
2.600000000000000000e+01,1.100117088203591970e-01
2.700000000000000000e+01,1.099985433519766326e-01
2.800000000000000000e+01,1.099961432716600740e-01
2.900000000000000000e+01,1.099958904588205499e-01
3.000000000000000000e+01,1.099958904339449206e-01
3.100000000000000000e+01,1.099958904339449206e-01
3.200000000000000000e+01,1.099898902331535588e-01
3.300000000000000000e+01,1.099886901929953004e-01
3.400000000000000000e+01,1.099838900323621971e-01
3.500000000000000000e+01,1.099814899520456662e-01
3.600000000000000000e+01,1.099778898315708492e-01
3.700000000000000000e+01,1.098914426317061238e-01
3.800000000000000000e+01,1.098866255743991688e-01
3.900000000000000000e+01,1.098000459360952419e-01
4.000000000000000000e+01,1.097988458959369834e-01
4.100000000000000000e+01,1.097952843738425749e-01
4.200000000000000000e+01,1.097952843738425749e-01
4.300000000000000000e+01,1.097952843738425471e-01
4.400000000000000000e+01,1.097952843738425471e-01
4.500000000000000000e+01,1.097892841730511854e-01
4.600000000000000000e+01,1.097892841730511854e-01
4.700000000000000000e+01,1.097868317551980305e-01
4.800000000000000000e+01,1.097856317150397443e-01
4.900000000000000000e+01,1.097803065368374298e-01
5.000000000000000000e+01,1.097792940029538866e-01
5.100000000000000000e+01,1.097772132833640391e-01
5.200000000000000000e+01,1.097736205378392477e-01
5.300000000000000000e+01,1.097724204976809614e-01
5.400000000000000000e+01,1.093376413828510973e-01
5.500000000000000000e+01,1.093326490644529608e-01
5.600000000000000000e+01,1.093302489841364022e-01
5.700000000000000000e+01,1.093254488235033267e-01
5.800000000000000000e+01,1.093221487130680847e-01
5.900000000000000000e+01,1.093221487130680847e-01
6.000000000000000000e+01,1.093173485524349953e-01
6.100000000000000000e+01,1.093161485122767368e-01
6.200000000000000000e+01,1.093101483114853750e-01
6.300000000000000000e+01,1.093101483114853750e-01
6.400000000000000000e+01,1.093101483114853750e-01
6.500000000000000000e+01,1.093041481106940133e-01
6.600000000000000000e+01,1.093017480303774824e-01
6.700000000000000000e+01,1.092981479099026515e-01
6.800000000000000000e+01,1.092981479099026515e-01
6.900000000000000000e+01,1.090512925017709522e-01
7.000000000000000000e+01,1.090440922608213181e-01
7.100000000000000000e+01,1.087364329924273565e-01
7.200000000000000000e+01,1.087364329924273565e-01
7.300000000000000000e+01,1.087309004984578498e-01
7.400000000000000000e+01,1.087309004984578498e-01
7.500000000000000000e+01,1.087271658719615453e-01
7.600000000000000000e+01,1.087271658719615453e-01
7.700000000000000000e+01,1.087247657916450144e-01
7.800000000000000000e+01,1.087199599063001648e-01
7.900000000000000000e+01,1.087184598561023174e-01
8.000000000000000000e+01,1.080443303886110401e-01
8.100000000000000000e+01,1.080431303484527816e-01
8.200000000000000000e+01,1.080431303484527816e-01
8.300000000000000000e+01,1.080338048136444407e-01
8.400000000000000000e+01,1.080338048136444407e-01
8.500000000000000000e+01,1.080290046530113651e-01
8.600000000000000000e+01,1.080290046530113651e-01
8.700000000000000000e+01,1.080290046530113651e-01
