# iteration,cost
0.000000000000000000e+00,3.255240132500177297e-01
1.000000000000000000e+00,3.246523675361106531e-01
2.000000000000000000e+00,3.196044389619325798e-01
3.000000000000000000e+00,3.172931154488067840e-01
4.000000000000000000e+00,3.140218151138187141e-01
5.000000000000000000e+00,3.099995333190810332e-01
6.000000000000000000e+00,3.088492255354073901e-01
7.000000000000000000e+00,3.068468211068695606e-01
8.000000000000000000e+00,3.066405688228024395e-01
9.000000000000000000e+00,3.064386019625305324e-01
1.000000000000000000e+01,3.037248606448984534e-01
1.100000000000000000e+01,3.031597238465175148e-01
1.200000000000000000e+01,3.031413650152725014e-01
1.300000000000000000e+01,3.031079475827943570e-01
1.400000000000000000e+01,3.027027436375305247e-01
1.500000000000000000e+01,3.017801248360105215e-01
1.600000000000000000e+01,3.014211661227146344e-01
1.700000000000000000e+01,3.000445664784703315e-01
1.800000000000000000e+01,3.000007985700843816e-01
1.900000000000000000e+01,2.996848855520454213e-01
2.000000000000000000e+01,2.995544835932785199e-01
2.100000000000000000e+01,2.995492688395996472e-01
2.200000000000000000e+01,2.992976741193526524e-01
2.300000000000000000e+01,2.992891754945314897e-01
2.400000000000000000e+01,2.976310329921132425e-01
2.500000000000000000e+01,2.947273963519712603e-01
2.600000000000000000e+01,2.947216988551024652e-01
2.700000000000000000e+01,2.946924307652175057e-01
2.800000000000000000e+01,2.944672174101333750e-01
2.900000000000000000e+01,2.942138785972392423e-01
3.000000000000000000e+01,2.942079543253659502e-01
3.100000000000000000e+01,2.940111088949018403e-01
3.200000000000000000e+01,2.940097039696845105e-01
3.300000000000000000e+01,2.940070123276175562e-01
3.400000000000000000e+01,2.939950481368717727e-01
3.500000000000000000e+01,2.939924398105089320e-01
3.600000000000000000e+01,2.939500464642154087e-01
3.700000000000000000e+01,2.938865715588213634e-01
3.800000000000000000e+01,2.938851734263002724e-01
3.900000000000000000e+01,2.928894213812336389e-01
4.000000000000000000e+01,2.927804559522295680e-01
4.100000000000000000e+01,2.927804559522295680e-01
4.200000000000000000e+01,2.927614463383974019e-01
4.300000000000000000e+01,2.926389151224989549e-01
4.400000000000000000e+01,2.923658086958670910e-01
4.500000000000000000e+01,2.923658086958670910e-01
4.600000000000000000e+01,2.918104206455136018e-01
4.700000000000000000e+01,2.918043675601327269e-01
4.800000000000000000e+01,2.916280638139865378e-01
4.900000000000000000e+01,2.915060964750437189e-01
5.000000000000000000e+01,2.912091100703879110e-01
5.100000000000000000e+01,2.911838702505535892e-01
5.200000000000000000e+01,2.911800642274849915e-01
5.300000000000000000e+01,2.911800642274849915e-01
5.400000000000000000e+01,2.911764973744859208e-01
5.500000000000000000e+01,2.911416134771376840e-01
5.600000000000000000e+01,2.910448907213312730e-01
5.700000000000000000e+01,2.906103825884095992e-01
5.800000000000000000e+01,2.898970657736909540e-01
5.900000000000000000e+01,2.898853397446150559e-01
6.000000000000000000e+01,2.898675923026299284e-01
6.100000000000000000e+01,2.898659682920946001e-01
6.200000000000000000e+01,2.895503979561563912e-01
6.300000000000000000e+01,2.895479249849476910e-01
6.400000000000000000e+01,2.895475219351223428e-01
6.500000000000000000e+01,2.895452303602059629e-01
6.600000000000000000e+01,2.894372539452642057e-01
6.700000000000000000e+01,2.893973886586281297e-01
6.800000000000000000e+01,2.893397867743596752e-01
6.900000000000000000e+01,2.882178047466806281e-01
7.000000000000000000e+01,2.882170844181422553e-01
7.100000000000000000e+01,2.881802767407122268e-01
7.200000000000000000e+01,2.881761192627947388e-01
7.300000000000000000e+01,2.881759209753583795e-01
7.400000000000000000e+01,2.879743542586825078e-01
7.500000000000000000e+01,2.879731542185242632e-01
7.600000000000000000e+01,2.879731542185242632e-01
7.700000000000000000e+01,2.879696103317272438e-01
7.800000000000000000e+01,2.879279627849733458e-01
7.900000000000000000e+01,2.879032050394539910e-01
8.000000000000000000e+01,2.878243747924142393e-01
8.100000000000000000e+01,2.878243747924142393e-01
8.200000000000000000e+01,2.878237186027433059e-01
8.300000000000000000e+01,2.878170794848781688e-01
8.400000000000000000e+01,2.878168608862722300e-01
8.500000000000000000e+01,2.878090948462543319e-01
8.600000000000000000e+01,2.877393704231817062e-01
8.700000000000000000e+01,2.877127002578655501e-01
8.800000000000000000e+01,2.877054863350476666e-01
8.900000000000000000e+01,2.873186108577274189e-01
9.000000000000000000e+01,2.872786194772807278e-01
9.100000000000000000e+01,2.872786194772807278e-01
9.200000000000000000e+01,2.872474696403122807e-01
9.300000000000000000e+01,2.872402693993627021e-01
9.400000000000000000e+01,2.872368148462088877e-01
