# iteration,cost
0.000000000000000000e+00,6.951087515979206821e-02
1.000000000000000000e+00,6.888566178088491310e-02
2.000000000000000000e+00,6.887965897057392317e-02
3.000000000000000000e+00,6.886765856899121352e-02
4.000000000000000000e+00,6.843790165797508651e-02
5.000000000000000000e+00,6.792525272603373854e-02
6.000000000000000000e+00,6.792312062845273779e-02
7.000000000000000000e+00,6.768999799586609967e-02
8.000000000000000000e+00,6.755989019687420882e-02
9.000000000000000000e+00,6.755749011655766412e-02
1.000000000000000000e+01,6.735707564144161053e-02
1.100000000000000000e+01,6.723730950501762005e-02
1.200000000000000000e+01,6.723400939458237802e-02
1.300000000000000000e+01,6.723280935442410566e-02
1.400000000000000000e+01,6.704167595734994434e-02
1.500000000000000000e+01,6.702626294156713294e-02
1.600000000000000000e+01,6.702253282848583127e-02
1.700000000000000000e+01,6.701242107858687569e-02
1.800000000000000000e+01,6.700402079747898310e-02
1.900000000000000000e+01,6.700193766074521995e-02
2.000000000000000000e+01,6.699755408331206641e-02
2.100000000000000000e+01,6.698915380220417382e-02
2.200000000000000000e+01,6.698795376204590146e-02
2.300000000000000000e+01,6.698795376204590146e-02
2.400000000000000000e+01,6.698195356125453970e-02
2.500000000000000000e+01,6.696871561825860908e-02
2.600000000000000000e+01,6.695812028077065270e-02
2.700000000000000000e+01,6.695706970550832637e-02
2.800000000000000000e+01,6.695133570373131005e-02
2.900000000000000000e+01,6.695133570373131005e-02
3.000000000000000000e+01,6.694053534230687275e-02
3.100000000000000000e+01,6.693813526199031416e-02
3.200000000000000000e+01,6.693333510135723863e-02
3.300000000000000000e+01,6.692733490056589074e-02
3.400000000000000000e+01,6.692200267109875422e-02
3.500000000000000000e+01,6.692177766356909030e-02
3.600000000000000000e+01,6.691685569092040153e-02
3.700000000000000000e+01,6.691685569092040153e-02
3.800000000000000000e+01,6.690965544997076742e-02
3.900000000000000000e+01,6.690485528933767800e-02
4.000000000000000000e+01,6.689947105190839627e-02
4.100000000000000000e+01,6.688799840848232148e-02
4.200000000000000000e+01,6.688546516629992333e-02
4.300000000000000000e+01,6.687248130169852478e-02
4.400000000000000000e+01,6.686754864264499165e-02
4.500000000000000000e+01,6.686514856232843307e-02
4.600000000000000000e+01,6.686274848201190224e-02
4.700000000000000000e+01,6.686034840169535753e-02
4.800000000000000000e+01,6.685788410390859637e-02
4.900000000000000000e+01,6.685788410390859637e-02
5.000000000000000000e+01,6.684904442602772334e-02
5.100000000000000000e+01,6.684701935826065089e-02
5.200000000000000000e+01,6.684581931810237854e-02
5.300000000000000000e+01,6.684581931810237854e-02
5.400000000000000000e+01,6.684171140736516747e-02
5.500000000000000000e+01,6.683681041461714267e-02
5.600000000000000000e+01,6.683321029414232561e-02
5.700000000000000000e+01,6.682961017366750855e-02
5.800000000000000000e+01,6.682721009335097773e-02
5.900000000000000000e+01,6.682125451985967968e-02
6.000000000000000000e+01,6.681885443954313497e-02
6.100000000000000000e+01,6.681885443954313497e-02
6.200000000000000000e+01,6.681645435922659026e-02
6.300000000000000000e+01,6.681645435922659026e-02
6.400000000000000000e+01,6.681405427891005944e-02
6.500000000000000000e+01,6.681405427891005944e-02
6.600000000000000000e+01,6.680356986906538230e-02
6.700000000000000000e+01,6.680236982890697117e-02
6.800000000000000000e+01,6.680116978874868494e-02
6.900000000000000000e+01,6.679636767435828681e-02
7.000000000000000000e+01,6.679516763420001446e-02
7.100000000000000000e+01,6.679484640542952822e-02
7.200000000000000000e+01,6.679244632511298352e-02
7.300000000000000000e+01,6.678884620463816646e-02
7.400000000000000000e+01,6.678764616447989411e-02
7.500000000000000000e+01,6.678764616447989411e-02
7.600000000000000000e+01,6.661233823445329716e-02
7.700000000000000000e+01,6.661197283333190888e-02
7.800000000000000000e+01,6.661197283333190888e-02
7.900000000000000000e+01,6.661155309359530208e-02
8.000000000000000000e+01,6.661155309359530208e-02
8.100000000000000000e+01,6.661155309359530208e-02
8.200000000000000000e+01,6.661155309359530208e-02
8.300000000000000000e+01,6.660795297312049890e-02
8.400000000000000000e+01,6.660795297312049890e-02
8.500000000000000000e+01,6.660561873284225054e-02
8.600000000000000000e+01,6.660441869268399206e-02
8.700000000000000000e+01,6.660321865252571971e-02
