# iteration,cost
0.000000000000000000e+00,1.134458900137643583e-01
1.000000000000000000e+00,1.134344493842960183e-01
2.000000000000000000e+00,1.134320494108743693e-01
3.000000000000000000e+00,1.134320314131674612e-01
4.000000000000000000e+00,1.134173515721922376e-01
5.000000000000000000e+00,1.134149514918756790e-01
6.000000000000000000e+00,1.134053867475463551e-01
7.000000000000000000e+00,1.134041867073880688e-01
8.000000000000000000e+00,1.133963602956248318e-01
9.000000000000000000e+00,1.133863005507405181e-01
1.000000000000000000e+01,1.133862630494855694e-01
1.100000000000000000e+01,1.118058400992350820e-01
1.200000000000000000e+01,1.118010922779752725e-01
1.300000000000000000e+01,1.118010922779752725e-01
1.400000000000000000e+01,1.117988835528431896e-01
1.500000000000000000e+01,1.117966826238332018e-01
1.600000000000000000e+01,1.117942825435166432e-01
1.700000000000000000e+01,1.117895009772805898e-01
1.800000000000000000e+01,1.117895009772805898e-01
1.900000000000000000e+01,1.117857883530409407e-01
2.000000000000000000e+01,1.117857883530409407e-01
2.100000000000000000e+01,1.117833865795595100e-01
2.200000000000000000e+01,1.115069990243414411e-01
2.300000000000000000e+01,1.115021988637073247e-01
2.400000000000000000e+01,1.114937453744915125e-01
2.500000000000000000e+01,1.114925891769450172e-01
2.600000000000000000e+01,1.114889890564702141e-01
2.700000000000000000e+01,1.114889890564702141e-01
2.800000000000000000e+01,1.114857639485448554e-01
2.900000000000000000e+01,1.113820319945270088e-01
3.000000000000000000e+01,1.112628509077830535e-01
3.100000000000000000e+01,1.112616508676245036e-01
3.200000000000000000e+01,1.112580507471496866e-01
3.300000000000000000e+01,1.112568507069914142e-01
3.400000000000000000e+01,1.112568507069914142e-01
3.500000000000000000e+01,1.112544506266748695e-01
3.600000000000000000e+01,1.112474036624970103e-01
3.700000000000000000e+01,1.112474036624969964e-01
3.800000000000000000e+01,1.112462036223387241e-01
3.900000000000000000e+01,1.107724386751363782e-01
4.000000000000000000e+01,1.107712386349781197e-01
4.100000000000000000e+01,1.107711191449439053e-01
4.200000000000000000e+01,1.107711191449439053e-01
4.300000000000000000e+01,1.107687190646273745e-01
4.400000000000000000e+01,1.107651189441525713e-01
4.500000000000000000e+01,1.107627188638360266e-01
4.600000000000000000e+01,1.107615188236777404e-01
4.700000000000000000e+01,1.107556377594249020e-01
4.800000000000000000e+01,1.107497304376291458e-01
4.900000000000000000e+01,1.107497304376291458e-01
5.000000000000000000e+01,1.107449302769960842e-01
5.100000000000000000e+01,1.107448677787111341e-01
5.200000000000000000e+01,1.107424676983945894e-01
5.300000000000000000e+01,1.107424676983945894e-01
5.400000000000000000e+01,1.107424676983945894e-01
5.500000000000000000e+01,1.107424676983945894e-01
5.600000000000000000e+01,1.107423176933748088e-01
5.700000000000000000e+01,1.107356959638163274e-01
5.800000000000000000e+01,1.107356959638163274e-01
5.900000000000000000e+01,1.107356959638163274e-01
6.000000000000000000e+01,1.107308958031832519e-01
6.100000000000000000e+01,1.107284957228667072e-01
6.200000000000000000e+01,1.107196522572804626e-01
6.300000000000000000e+01,1.107196202439450078e-01
6.400000000000000000e+01,1.107196202439449939e-01
6.500000000000000000e+01,1.107170718408412580e-01
6.600000000000000000e+01,1.107170663386355114e-01
6.700000000000000000e+01,1.107145162532991861e-01
6.800000000000000000e+01,1.107145162532991861e-01
6.900000000000000000e+01,1.107015611566390806e-01
7.000000000000000000e+01,1.107015611566390806e-01
7.100000000000000000e+01,1.098625208054516689e-01
7.200000000000000000e+01,1.098625208054516689e-01
7.300000000000000000e+01,1.098625208054516689e-01
7.400000000000000000e+01,1.098611814022364408e-01
7.500000000000000000e+01,1.098551812014450790e-01
7.600000000000000000e+01,1.098551812014450790e-01
7.700000000000000000e+01,1.098551812014450790e-01
7.800000000000000000e+01,1.098551812014450790e-01
7.900000000000000000e+01,1.098551812014450790e-01
8.000000000000000000e+01,1.096026367944440832e-01
8.100000000000000000e+01,1.096026367944440832e-01
8.200000000000000000e+01,1.096002367141275247e-01
8.300000000000000000e+01,1.095990366739692662e-01
8.400000000000000000e+01,1.095963740848680951e-01
8.500000000000000000e+01,1.095963740848680951e-01
8.600000000000000000e+01,1.095963740848680951e-01
8.700000000000000000e+01,1.095927739643932919e-01
8.800000000000000000e+01,1.095914113881104462e-01
8.900000000000000000e+01,1.095902113479521739e-01
