# iteration,cost
0.000000000000000000e+00,3.175865748494933749e-01
1.000000000000000000e+00,3.106863039172936825e-01
2.000000000000000000e+00,3.072620052981954730e-01
3.000000000000000000e+00,3.072486095976634246e-01
4.000000000000000000e+00,3.061300685020566514e-01
5.000000000000000000e+00,3.049791385601486327e-01
6.000000000000000000e+00,3.038735461088135636e-01
7.000000000000000000e+00,3.018466327967817553e-01
8.000000000000000000e+00,2.981769736539852667e-01
9.000000000000000000e+00,2.969344122478533854e-01
1.000000000000000000e+01,2.968248368276154014e-01
1.100000000000000000e+01,2.968018805318192177e-01
1.200000000000000000e+01,2.967906956292820086e-01
1.300000000000000000e+01,2.954494539073498904e-01
1.400000000000000000e+01,2.953697725825253362e-01
1.500000000000000000e+01,2.951755405621106498e-01
1.600000000000000000e+01,2.938256669635789797e-01
1.700000000000000000e+01,2.919084693387756779e-01
1.800000000000000000e+01,2.919039674745079194e-01
1.900000000000000000e+01,2.905819390515927414e-01
2.000000000000000000e+01,2.905160924757285712e-01
2.100000000000000000e+01,2.902801555001638389e-01
2.200000000000000000e+01,2.899682293727322557e-01
2.300000000000000000e+01,2.892759241741399423e-01
2.400000000000000000e+01,2.892103953045600528e-01
2.500000000000000000e+01,2.883579542413899910e-01
2.600000000000000000e+01,2.883502244433397976e-01
2.700000000000000000e+01,2.882908501310072480e-01
2.800000000000000000e+01,2.881796216543479616e-01
2.900000000000000000e+01,2.881696889988162869e-01
3.000000000000000000e+01,2.875816783684607136e-01
3.100000000000000000e+01,2.874544037836022081e-01
3.200000000000000000e+01,2.873966936614613665e-01
3.300000000000000000e+01,2.873389490745867914e-01
3.400000000000000000e+01,2.868929748865999829e-01
3.500000000000000000e+01,2.868301781589063237e-01
3.600000000000000000e+01,2.868284077582583524e-01
3.700000000000000000e+01,2.868219639548024724e-01
3.800000000000000000e+01,2.863591662673533600e-01
3.900000000000000000e+01,2.863584620393899161e-01
4.000000000000000000e+01,2.863578908184457039e-01
4.100000000000000000e+01,2.863578908184457039e-01
4.200000000000000000e+01,2.862510846870988113e-01
4.300000000000000000e+01,2.862509542652445504e-01
4.400000000000000000e+01,2.862509542652445504e-01
4.500000000000000000e+01,2.855220251840727697e-01
4.600000000000000000e+01,2.855219645458029198e-01
4.700000000000000000e+01,2.855008949236311766e-01
4.800000000000000000e+01,2.854927268589882994e-01
4.900000000000000000e+01,2.854905154294737346e-01
5.000000000000000000e+01,2.854905154294737346e-01
5.100000000000000000e+01,2.854870118839623050e-01
5.200000000000000000e+01,2.854870118839623050e-01
5.300000000000000000e+01,2.854844918409550347e-01
5.400000000000000000e+01,2.854801078239553869e-01
5.500000000000000000e+01,2.847153657119887993e-01
5.600000000000000000e+01,2.846570169386970495e-01
5.700000000000000000e+01,2.846524213671508541e-01
5.800000000000000000e+01,2.843105889503044770e-01
5.900000000000000000e+01,2.842619567499617972e-01
6.000000000000000000e+01,2.842619567499617972e-01
6.100000000000000000e+01,2.842619567499617972e-01
