# iteration,cost
0.000000000000000000e+00,6.862092603993850959e-02
1.000000000000000000e+00,6.748183595421992920e-02
2.000000000000000000e+00,6.746982943198227833e-02
3.000000000000000000e+00,6.706090145644930112e-02
4.000000000000000000e+00,6.706090145644930112e-02
5.000000000000000000e+00,6.705687878767750687e-02
6.000000000000000000e+00,6.705327866720270369e-02
7.000000000000000000e+00,6.704247830577800271e-02
8.000000000000000000e+00,6.702087758292911424e-02
9.000000000000000000e+00,6.701847750261258341e-02
1.000000000000000000e+01,6.701607742229602482e-02
1.100000000000000000e+01,6.699677973935833086e-02
1.200000000000000000e+01,6.698294766795497013e-02
1.300000000000000000e+01,6.697784749728231957e-02
1.400000000000000000e+01,6.697784749728231957e-02
1.500000000000000000e+01,6.697784749728231957e-02
1.600000000000000000e+01,6.697664745712404721e-02
1.700000000000000000e+01,6.697214665332457129e-02
1.800000000000000000e+01,6.696014625174184776e-02
1.900000000000000000e+01,6.695774617142531693e-02
2.000000000000000000e+01,6.694934589031742433e-02
2.100000000000000000e+01,6.694814585015913810e-02
2.200000000000000000e+01,6.694814585015913810e-02
2.300000000000000000e+01,6.694814585015913810e-02
2.400000000000000000e+01,6.693739785964103461e-02
2.500000000000000000e+01,6.693619628791866449e-02
2.600000000000000000e+01,6.693379620760211979e-02
2.700000000000000000e+01,6.693259616744384743e-02
2.800000000000000000e+01,6.692899604696903038e-02
2.900000000000000000e+01,6.692397087880627704e-02
3.000000000000000000e+01,6.691096464682730338e-02
3.100000000000000000e+01,6.691096464682730338e-02
3.200000000000000000e+01,6.691096464682730338e-02
3.300000000000000000e+01,6.690976460666903103e-02
3.400000000000000000e+01,6.690736452635248632e-02
3.500000000000000000e+01,6.690256516120550445e-02
3.600000000000000000e+01,6.690136424640172330e-02
3.700000000000000000e+01,6.689656408576864777e-02
3.800000000000000000e+01,6.689656408576864777e-02
3.900000000000000000e+01,6.689656408576864777e-02
4.000000000000000000e+01,6.689655712555374334e-02
4.100000000000000000e+01,6.689655712555374334e-02
4.200000000000000000e+01,6.689535708539547099e-02
4.300000000000000000e+01,6.689535708539547099e-02
4.400000000000000000e+01,6.689535708539547099e-02
4.500000000000000000e+01,6.689535708539547099e-02
4.600000000000000000e+01,6.689415704523718476e-02
4.700000000000000000e+01,6.689415704523718476e-02
4.800000000000000000e+01,6.689415704523718476e-02
4.900000000000000000e+01,6.689415704523718476e-02
5.000000000000000000e+01,6.688935688460409534e-02
5.100000000000000000e+01,6.688935688460409534e-02
5.200000000000000000e+01,6.688695680428756452e-02
5.300000000000000000e+01,6.688485673401058096e-02
5.400000000000000000e+01,6.688245665369403625e-02
5.500000000000000000e+01,6.687885653321923307e-02
5.600000000000000000e+01,6.687405637258614366e-02
5.700000000000000000e+01,6.687405637258614366e-02
5.800000000000000000e+01,6.686692143898326224e-02
5.900000000000000000e+01,6.686692143898326224e-02
6.000000000000000000e+01,6.686212127835017283e-02
6.100000000000000000e+01,6.686212127835017283e-02
6.200000000000000000e+01,6.686211740204266174e-02
6.300000000000000000e+01,6.685611720125129998e-02
6.400000000000000000e+01,6.685611720125129998e-02
6.500000000000000000e+01,6.685371604297922488e-02
6.600000000000000000e+01,6.685131596266269405e-02
6.700000000000000000e+01,6.684891588234614934e-02
6.800000000000000000e+01,6.684411572171305993e-02
6.900000000000000000e+01,6.683931556107997052e-02
7.000000000000000000e+01,6.683811552092169816e-02
7.100000000000000000e+01,6.683586802388524761e-02
7.200000000000000000e+01,6.683226790341044443e-02
7.300000000000000000e+01,6.683226790341044443e-02
7.400000000000000000e+01,6.682986782309388585e-02
7.500000000000000000e+01,6.682986782309388585e-02
7.600000000000000000e+01,6.682266758214401581e-02
7.700000000000000000e+01,6.681909450630146852e-02
7.800000000000000000e+01,6.681909450630146852e-02
7.900000000000000000e+01,6.681909450630131586e-02
8.000000000000000000e+01,6.681909450630131586e-02
8.100000000000000000e+01,6.681909450630131586e-02
8.200000000000000000e+01,6.681478515254139772e-02
8.300000000000000000e+01,6.681478515254139772e-02
8.400000000000000000e+01,6.681238507222486689e-02
8.500000000000000000e+01,6.681238507222486689e-02
8.600000000000000000e+01,6.681238507222486689e-02
8.700000000000000000e+01,6.681118503206656678e-02
8.800000000000000000e+01,6.681118503206656678e-02
8.900000000000000000e+01,6.681054751073249587e-02
9.000000000000000000e+01,6.681054751073249587e-02
9.100000000000000000e+01,6.681054751073249587e-02
9.200000000000000000e+01,6.681054751073249587e-02
9.300000000000000000e+01,6.680350686334041166e-02
9.400000000000000000e+01,6.642279061692238362e-02
9.500000000000000000e+01,6.642039053660583892e-02
9.600000000000000000e+01,6.642021787233254315e-02
9.700000000000000000e+01,6.642021787233254315e-02
9.800000000000000000e+01,6.642021787233254315e-02
9.900000000000000000e+01,6.642021787233254315e-02
1.000000000000000000e+02,6.642021787233254315e-02
1.010000000000000000e+02,6.642021787233254315e-02
1.020000000000000000e+02,6.642021787233254315e-02
1.030000000000000000e+02,6.642021787233254315e-02
1.040000000000000000e+02,6.642021787233254315e-02
1.050000000000000000e+02,6.641781548969777349e-02
1.060000000000000000e+02,6.641781548969777349e-02
1.070000000000000000e+02,6.641544853543374094e-02
1.080000000000000000e+02,6.641304845511719623e-02
1.090000000000000000e+02,6.641304637742245776e-02
1.100000000000000000e+02,6.641303785007660054e-02
1.110000000000000000e+02,6.641063776976005584e-02
1.120000000000000000e+02,6.641063776976005584e-02
1.130000000000000000e+02,6.641063776976005584e-02
1.140000000000000000e+02,6.641063776976005584e-02
1.150000000000000000e+02,6.641063776976005584e-02
1.160000000000000000e+02,6.641063776976005584e-02
1.170000000000000000e+02,6.641063413345346667e-02
1.180000000000000000e+02,6.640823405313693584e-02
1.190000000000000000e+02,6.640823405313693584e-02
1.200000000000000000e+02,6.640823405313693584e-02
1.210000000000000000e+02,6.640583397282039113e-02
1.220000000000000000e+02,6.640312788788137188e-02
1.230000000000000000e+02,6.640072780756481330e-02
1.240000000000000000e+02,6.640072780756481330e-02
1.250000000000000000e+02,6.640072780756481330e-02
1.260000000000000000e+02,6.640072780756481330e-02
1.270000000000000000e+02,6.640072780756481330e-02
1.280000000000000000e+02,6.639832772724828247e-02
