# iteration,cost
0.000000000000000000e+00,1.141753020743200980e-01
1.000000000000000000e+00,1.141741003016131378e-01
2.000000000000000000e+00,1.141741003016126937e-01
3.000000000000000000e+00,1.141740987561523646e-01
4.000000000000000000e+00,1.141667984271292485e-01
5.000000000000000000e+00,1.141667984271292485e-01
6.000000000000000000e+00,1.132001649532458909e-01
7.000000000000000000e+00,1.127024342487786962e-01
8.000000000000000000e+00,1.125912875560342308e-01
9.000000000000000000e+00,1.115757985280239895e-01
1.000000000000000000e+01,1.115732104582073947e-01
1.100000000000000000e+01,1.115732104582073947e-01
1.200000000000000000e+01,1.115732104582071310e-01
1.300000000000000000e+01,1.115684086044091555e-01
1.400000000000000000e+01,1.115684086044091555e-01
1.500000000000000000e+01,1.115592922839062917e-01
1.600000000000000000e+01,1.115532605794395948e-01
1.700000000000000000e+01,1.115448602983317022e-01
1.800000000000000000e+01,1.115448602983317022e-01
1.900000000000000000e+01,1.115448602983317022e-01
2.000000000000000000e+01,1.115413941175533719e-01
2.100000000000000000e+01,1.115413941175533719e-01
2.200000000000000000e+01,1.115413941175533719e-01
2.300000000000000000e+01,1.115413941175533719e-01
2.400000000000000000e+01,1.115413272522884636e-01
2.500000000000000000e+01,1.115412326563444273e-01
2.600000000000000000e+01,1.099542427502861464e-01
2.700000000000000000e+01,1.099494425896530569e-01
2.800000000000000000e+01,1.099494301237307903e-01
2.900000000000000000e+01,1.099494291862669060e-01
3.000000000000000000e+01,1.099494291862669060e-01
3.100000000000000000e+01,1.099458290657921167e-01
3.200000000000000000e+01,1.099373210659103650e-01
3.300000000000000000e+01,1.099373210659103650e-01
3.400000000000000000e+01,1.099373155637046184e-01
3.500000000000000000e+01,1.099345271285209896e-01
3.600000000000000000e+01,1.099321270482044449e-01
3.700000000000000000e+01,1.099238022869887949e-01
3.800000000000000000e+01,1.099238022869887949e-01
3.900000000000000000e+01,1.099198793830372528e-01
4.000000000000000000e+01,1.099162792625624496e-01
4.100000000000000000e+01,1.099162792625624496e-01
4.200000000000000000e+01,1.099138791822459188e-01
4.300000000000000000e+01,1.099138635116080065e-01
4.400000000000000000e+01,1.099138635116080065e-01
4.500000000000000000e+01,1.099090450034805738e-01
4.600000000000000000e+01,1.099090450034805738e-01
4.700000000000000000e+01,1.099044789061758565e-01
4.800000000000000000e+01,1.099044789061758565e-01
4.900000000000000000e+01,1.099044789061758565e-01
5.000000000000000000e+01,1.099020788258593118e-01
5.100000000000000000e+01,1.099020788258593118e-01
5.200000000000000000e+01,1.099020788206551275e-01
5.300000000000000000e+01,1.098942983090468589e-01
5.400000000000000000e+01,1.098906981885720557e-01
5.500000000000000000e+01,1.098883794827251875e-01
5.600000000000000000e+01,1.098859794024086428e-01
5.700000000000000000e+01,1.098859794024086428e-01
5.800000000000000000e+01,1.098847793622503705e-01
5.900000000000000000e+01,1.098835793220921120e-01
6.000000000000000000e+01,1.098835793220921120e-01
6.100000000000000000e+01,1.098835793220921120e-01
6.200000000000000000e+01,1.098823792819338396e-01
6.300000000000000000e+01,1.098823792819338396e-01
6.400000000000000000e+01,1.098823792819338396e-01
6.500000000000000000e+01,1.098823792819338396e-01
6.600000000000000000e+01,1.098751790409842055e-01
6.700000000000000000e+01,1.098727789606676608e-01
6.800000000000000000e+01,1.098727789606676608e-01
6.900000000000000000e+01,1.098694858706174282e-01
7.000000000000000000e+01,1.098694858706174282e-01
7.100000000000000000e+01,1.098694858706174282e-01
7.200000000000000000e+01,1.098658857501426112e-01
7.300000000000000000e+01,1.098622856296677941e-01
7.400000000000000000e+01,1.098579380951468787e-01
7.500000000000000000e+01,1.098579380951468787e-01
7.600000000000000000e+01,1.098555380148303479e-01
7.700000000000000000e+01,1.098547129872215478e-01
7.800000000000000000e+01,1.098516071517172676e-01
7.900000000000000000e+01,1.098516071517172676e-01
8.000000000000000000e+01,1.098516071517172676e-01
8.100000000000000000e+01,1.098516071517172676e-01
8.200000000000000000e+01,1.098516071517172676e-01
8.300000000000000000e+01,1.098516071517172676e-01
8.400000000000000000e+01,1.098516071517172676e-01
8.500000000000000000e+01,1.098516071517172676e-01
8.600000000000000000e+01,1.098516071517172676e-01
8.700000000000000000e+01,1.098516071517172676e-01
8.800000000000000000e+01,1.098516071517172676e-01
8.900000000000000000e+01,1.098516071517172676e-01
9.000000000000000000e+01,1.098516071517172676e-01
9.100000000000000000e+01,1.098492070714007229e-01
9.200000000000000000e+01,1.098492070714007229e-01
9.300000000000000000e+01,1.098492070714007229e-01
9.400000000000000000e+01,1.098444069107676335e-01
9.500000000000000000e+01,1.098420068304511027e-01
9.600000000000000000e+01,1.098420068304511027e-01
9.700000000000000000e+01,1.098420068304511027e-01
9.800000000000000000e+01,1.098420068304511027e-01
9.900000000000000000e+01,1.098396067501345719e-01
1.000000000000000000e+02,1.098396067501345719e-01
1.010000000000000000e+02,1.098372066698180133e-01
1.020000000000000000e+02,1.098348065895014686e-01
1.030000000000000000e+02,1.098348065895014686e-01
1.040000000000000000e+02,1.098348065895014686e-01
1.050000000000000000e+02,1.098312064690266654e-01
1.060000000000000000e+02,1.098234514569538106e-01
1.070000000000000000e+02,1.098234514569538106e-01
1.080000000000000000e+02,1.098230585271448706e-01
1.090000000000000000e+02,1.098230585271446902e-01
