# iteration,cost
0.000000000000000000e+00,1.183252156842285047e-01
1.000000000000000000e+00,1.183195806787911419e-01
2.000000000000000000e+00,1.174388582682301951e-01
3.000000000000000000e+00,1.174364581879136643e-01
4.000000000000000000e+00,1.167818421508633603e-01
5.000000000000000000e+00,1.167818358590436839e-01
6.000000000000000000e+00,1.147112693303359715e-01
7.000000000000000000e+00,1.147026610943210623e-01
8.000000000000000000e+00,1.142983028023785014e-01
9.000000000000000000e+00,1.130129788348032266e-01
1.000000000000000000e+01,1.111371347873557902e-01
1.100000000000000000e+01,1.111371347873557902e-01
1.200000000000000000e+01,1.111371347873557902e-01
1.300000000000000000e+01,1.111346927031023196e-01
1.400000000000000000e+01,1.109660413938304696e-01
1.500000000000000000e+01,1.109621778175462758e-01
1.600000000000000000e+01,1.109606394158469261e-01
1.700000000000000000e+01,1.109534391748972781e-01
1.800000000000000000e+01,1.109487380250424593e-01
1.900000000000000000e+01,1.105026639149956358e-01
2.000000000000000000e+01,1.102853423540440247e-01
2.100000000000000000e+01,1.100748251435395841e-01
2.200000000000000000e+01,1.100569812800670372e-01
2.300000000000000000e+01,1.091714006388304625e-01
2.400000000000000000e+01,1.091641752047992631e-01
2.500000000000000000e+01,1.091641752047992631e-01
2.600000000000000000e+01,1.091487065684902807e-01
2.700000000000000000e+01,1.091439064078572191e-01
2.800000000000000000e+01,1.091428162768426219e-01
2.900000000000000000e+01,1.091362132961005288e-01
3.000000000000000000e+01,1.091293313593959535e-01
3.100000000000000000e+01,1.083775163795563240e-01
3.200000000000000000e+01,1.083775163795563240e-01
3.300000000000000000e+01,1.083751162992397793e-01
3.400000000000000000e+01,1.083727804837630176e-01
3.500000000000000000e+01,1.083727804837630176e-01
3.600000000000000000e+01,1.083703804034464868e-01
3.700000000000000000e+01,1.083652482749622448e-01
3.800000000000000000e+01,1.083652482749622448e-01
3.900000000000000000e+01,1.083517855124240953e-01
4.000000000000000000e+01,1.083517855124240953e-01
4.100000000000000000e+01,1.083493634164484354e-01
4.200000000000000000e+01,1.083493634164484354e-01
4.300000000000000000e+01,1.083493634164484354e-01
4.400000000000000000e+01,1.083445632558153737e-01
4.500000000000000000e+01,1.083445632558153737e-01
4.600000000000000000e+01,1.083378292709918783e-01
4.700000000000000000e+01,1.083378292709918783e-01
4.800000000000000000e+01,1.083318651755124512e-01
4.900000000000000000e+01,1.083306677902757947e-01
5.000000000000000000e+01,1.083282677099592639e-01
5.100000000000000000e+01,1.083234675493261745e-01
5.200000000000000000e+01,1.083230550355217675e-01
5.300000000000000000e+01,1.083218549953634952e-01
5.400000000000000000e+01,1.083218549638295808e-01
5.500000000000000000e+01,1.083218549638295808e-01
5.600000000000000000e+01,1.083218549638295808e-01
5.700000000000000000e+01,1.083218549638295808e-01
5.800000000000000000e+01,1.083218549638295808e-01
5.900000000000000000e+01,1.083182548433547637e-01
6.000000000000000000e+01,1.083182548433547637e-01
6.100000000000000000e+01,1.083182548433547637e-01
6.200000000000000000e+01,1.083182548433547637e-01
6.300000000000000000e+01,1.083174548854687752e-01
6.400000000000000000e+01,1.083174548854687752e-01
6.500000000000000000e+01,1.083174548854687752e-01
6.600000000000000000e+01,1.083174548854687752e-01
6.700000000000000000e+01,1.083174548854687752e-01
6.800000000000000000e+01,1.083150546982571683e-01
6.900000000000000000e+01,1.083042269586009659e-01
7.000000000000000000e+01,1.083006355435473106e-01
7.100000000000000000e+01,1.083006355435473106e-01
7.200000000000000000e+01,1.083006355435473106e-01
7.300000000000000000e+01,1.083006355435473106e-01
7.400000000000000000e+01,1.082970172645089380e-01
7.500000000000000000e+01,1.082970172645089380e-01
7.600000000000000000e+01,1.082948421917220710e-01
7.700000000000000000e+01,1.082948421917220710e-01
7.800000000000000000e+01,1.082948088670102477e-01
7.900000000000000000e+01,1.082948088670102477e-01
8.000000000000000000e+01,1.082924421114055402e-01
8.100000000000000000e+01,1.082828417901393753e-01
8.200000000000000000e+01,1.079581683795904773e-01
8.300000000000000000e+01,1.079581396346796368e-01
8.400000000000000000e+01,1.079510145807175969e-01
8.500000000000000000e+01,1.079510145807175969e-01
8.600000000000000000e+01,1.079510145807175969e-01
8.700000000000000000e+01,1.079498145405593246e-01
8.800000000000000000e+01,1.079498145405593246e-01
8.900000000000000000e+01,1.079498145405593246e-01
9.000000000000000000e+01,1.079497453621382913e-01
9.100000000000000000e+01,1.078668351515816443e-01
9.200000000000000000e+01,1.078668351515816443e-01
9.300000000000000000e+01,1.078668351515816443e-01
9.400000000000000000e+01,1.078587059248556773e-01
9.500000000000000000e+01,1.078563058445396877e-01
9.600000000000000000e+01,1.078552977129870888e-01
9.700000000000000000e+01,1.078541015702684097e-01
9.800000000000000000e+01,1.078541015702684097e-01
9.900000000000000000e+01,1.078529015301101374e-01
1.000000000000000000e+02,1.078493014096353342e-01
1.010000000000000000e+02,1.078493014096349040e-01
1.020000000000000000e+02,1.078493014096349040e-01
1.030000000000000000e+02,1.078493014096349040e-01
1.040000000000000000e+02,1.078493014096349040e-01
1.050000000000000000e+02,1.076225788047949494e-01
1.060000000000000000e+02,1.075485125246966184e-01
1.070000000000000000e+02,1.075485125246966184e-01
1.080000000000000000e+02,1.075462742085522561e-01
1.090000000000000000e+02,1.075424979047227281e-01
