# iteration,cost
0.000000000000000000e+00,8.086345062402583439e-02
1.000000000000000000e+00,7.705333974404507402e-02
2.000000000000000000e+00,7.704649658689444180e-02
3.000000000000000000e+00,7.553821975492047702e-02
4.000000000000000000e+00,7.553464194319582659e-02
5.000000000000000000e+00,7.553015353221256833e-02
6.000000000000000000e+00,7.478505205603480643e-02
7.000000000000000000e+00,7.478505205603480643e-02
8.000000000000000000e+00,7.347005217077717809e-02
9.000000000000000000e+00,7.346045184951101314e-02
1.000000000000000000e+01,7.346011974450908366e-02
1.100000000000000000e+01,7.345291950355907484e-02
1.200000000000000000e+01,7.304310590056378727e-02
1.300000000000000000e+01,7.303681268045054964e-02
1.400000000000000000e+01,7.303608805047416552e-02
1.500000000000000000e+01,7.303608805047416552e-02
1.600000000000000000e+01,7.289412106994594409e-02
1.700000000000000000e+01,7.289303661045651306e-02
1.800000000000000000e+01,7.289303661045651306e-02
1.900000000000000000e+01,7.289123371093923776e-02
2.000000000000000000e+01,7.288729607916991093e-02
2.100000000000000000e+01,7.288729607916991093e-02
2.200000000000000000e+01,7.287916751225860523e-02
2.300000000000000000e+01,7.287796741210131324e-02
2.400000000000000000e+01,7.287796741210131324e-02
2.500000000000000000e+01,7.282153696215376559e-02
2.600000000000000000e+01,7.282153696215376559e-02
2.700000000000000000e+01,7.226068575698516017e-02
2.800000000000000000e+01,7.225108543571860664e-02
2.900000000000000000e+01,7.225096765128000142e-02
3.000000000000000000e+01,7.224976761112174295e-02
3.100000000000000000e+01,7.224496745048865354e-02
3.200000000000000000e+01,7.224496745048865354e-02
3.300000000000000000e+01,7.224496745048865354e-02
3.400000000000000000e+01,7.224496745048865354e-02
3.500000000000000000e+01,7.224496745048865354e-02
3.600000000000000000e+01,7.224376741033038118e-02
3.700000000000000000e+01,7.224376741033038118e-02
3.800000000000000000e+01,7.224376741033038118e-02
3.900000000000000000e+01,7.224136733001382260e-02
4.000000000000000000e+01,7.224136733001382260e-02
4.100000000000000000e+01,7.224136733001382260e-02
4.200000000000000000e+01,7.224136733001382260e-02
4.300000000000000000e+01,7.224016728985555025e-02
4.400000000000000000e+01,7.223536712922247471e-02
4.500000000000000000e+01,7.223296704890593001e-02
4.600000000000000000e+01,7.223281704388614943e-02
4.700000000000000000e+01,7.222801688325307390e-02
4.800000000000000000e+01,7.222715261604312209e-02
4.900000000000000000e+01,7.222235245541003268e-02
5.000000000000000000e+01,7.210374573999794867e-02
5.100000000000000000e+01,7.210374573999794867e-02
5.200000000000000000e+01,7.210254348627676002e-02
5.300000000000000000e+01,7.210013790777186626e-02
5.400000000000000000e+01,7.209773782745532156e-02
5.500000000000000000e+01,7.209773668899126242e-02
5.600000000000000000e+01,7.202921602560041769e-02
5.700000000000000000e+01,7.202561590512560064e-02
5.800000000000000000e+01,7.202557529496025901e-02
5.900000000000000000e+01,7.202317521464372818e-02
6.000000000000000000e+01,7.201957509416891112e-02
6.100000000000000000e+01,7.201405144879620412e-02
6.200000000000000000e+01,7.201405144879620412e-02
6.300000000000000000e+01,7.201404844229172819e-02
6.400000000000000000e+01,7.201404844229172819e-02
6.500000000000000000e+01,7.201164836197518349e-02
6.600000000000000000e+01,7.201164836197518349e-02
6.700000000000000000e+01,7.200924828165863878e-02
6.800000000000000000e+01,7.200924828165863878e-02
6.900000000000000000e+01,7.200924828165863878e-02
7.000000000000000000e+01,7.200690538568239873e-02
7.100000000000000000e+01,7.200690538568239873e-02
7.200000000000000000e+01,7.200090518489103697e-02
7.300000000000000000e+01,7.199970514473276462e-02
7.400000000000000000e+01,7.199970514473276462e-02
7.500000000000000000e+01,7.199970514473276462e-02
7.600000000000000000e+01,7.199970514473276462e-02
7.700000000000000000e+01,7.199878821044890242e-02
7.800000000000000000e+01,7.199518808997408537e-02
7.900000000000000000e+01,7.199518808997408537e-02
8.000000000000000000e+01,7.199518808997408537e-02
8.100000000000000000e+01,7.198798784902445125e-02
8.200000000000000000e+01,7.198558776870792042e-02
8.300000000000000000e+01,7.198558776870792042e-02
