# iteration,cost
0.000000000000000000e+00,6.950911260080960830e-02
1.000000000000000000e+00,6.950311240001824653e-02
2.000000000000000000e+00,6.886728263579243448e-02
3.000000000000000000e+00,6.835918750982059033e-02
4.000000000000000000e+00,6.816189381632328792e-02
5.000000000000000000e+00,6.739865578875355034e-02
6.000000000000000000e+00,6.737097201865492602e-02
7.000000000000000000e+00,6.735692325504719080e-02
8.000000000000000000e+00,6.735212309441399037e-02
9.000000000000000000e+00,6.735212296667460186e-02
1.000000000000000000e+01,6.693223193439384877e-02
1.100000000000000000e+01,6.693193192435427374e-02
1.200000000000000000e+01,6.692953184403772904e-02
1.300000000000000000e+01,6.691633140229674703e-02
1.400000000000000000e+01,6.691273128182194385e-02
1.500000000000000000e+01,6.689953084008096185e-02
1.600000000000000000e+01,6.688273027786516278e-02
1.700000000000000000e+01,6.687432999675699263e-02
1.800000000000000000e+01,6.687312995659872028e-02
1.900000000000000000e+01,6.686592971564908616e-02
2.000000000000000000e+01,6.685523416379389461e-02
2.100000000000000000e+01,6.684923396300253284e-02
2.200000000000000000e+01,6.684852143915857858e-02
2.300000000000000000e+01,6.684252123836721682e-02
2.400000000000000000e+01,6.684252123836721682e-02
2.500000000000000000e+01,6.683292091710103799e-02
2.600000000000000000e+01,6.682572067615141775e-02
2.700000000000000000e+01,6.682365317101759961e-02
2.800000000000000000e+01,6.682125309070105490e-02
2.900000000000000000e+01,6.682005305054278255e-02
3.000000000000000000e+01,6.679953986408733446e-02
3.100000000000000000e+01,6.679233962313771422e-02
3.200000000000000000e+01,6.678901141866971924e-02
3.300000000000000000e+01,6.678338623042782973e-02
3.400000000000000000e+01,6.678098615011128503e-02
3.500000000000000000e+01,6.677108581880553118e-02
3.600000000000000000e+01,6.676628565817245564e-02
3.700000000000000000e+01,6.676578166963123562e-02
3.800000000000000000e+01,6.675569383205078033e-02
3.900000000000000000e+01,6.674474346560656246e-02
4.000000000000000000e+01,6.674474346560656246e-02
4.100000000000000000e+01,6.674474346560656246e-02
4.200000000000000000e+01,6.673790598621119619e-02
4.300000000000000000e+01,6.672469858425532363e-02
4.400000000000000000e+01,6.672454818876517868e-02
4.500000000000000000e+01,6.671789907478388459e-02
4.600000000000000000e+01,6.671789907478388459e-02
4.700000000000000000e+01,6.671669903462561224e-02
4.800000000000000000e+01,6.671429895430906754e-02
4.900000000000000000e+01,6.671429895430906754e-02
5.000000000000000000e+01,6.671429700055175882e-02
5.100000000000000000e+01,6.670855853256227319e-02
5.200000000000000000e+01,6.670135829161265295e-02
5.300000000000000000e+01,6.669895821129612212e-02
5.400000000000000000e+01,6.669295801050476036e-02
5.500000000000000000e+01,6.669295801050476036e-02
5.600000000000000000e+01,6.668914488001569107e-02
5.700000000000000000e+01,6.668674479969914637e-02
5.800000000000000000e+01,6.668674479969914637e-02
5.900000000000000000e+01,6.668674479969914637e-02
6.000000000000000000e+01,6.668434471938258779e-02
6.100000000000000000e+01,6.668316651885280999e-02
6.200000000000000000e+01,6.668316651885280999e-02
6.300000000000000000e+01,6.662495265827635127e-02
6.400000000000000000e+01,6.662495265827635127e-02
6.500000000000000000e+01,6.662495265827635127e-02
6.600000000000000000e+01,6.661775241732671715e-02
6.700000000000000000e+01,6.661775241732671715e-02
6.800000000000000000e+01,6.661775241732671715e-02
6.900000000000000000e+01,6.661745084146813989e-02
7.000000000000000000e+01,6.660777551769207772e-02
7.100000000000000000e+01,6.660537543737553301e-02
7.200000000000000000e+01,6.660537482258824249e-02
7.300000000000000000e+01,6.660177470211342543e-02
7.400000000000000000e+01,6.660177470211342543e-02
7.500000000000000000e+01,6.659909766233838846e-02
7.600000000000000000e+01,6.659909766233838846e-02
7.700000000000000000e+01,6.659852950821508466e-02
7.800000000000000000e+01,6.659852950821508466e-02
7.900000000000000000e+01,6.659225793839793073e-02
8.000000000000000000e+01,6.659225793839793073e-02
8.100000000000000000e+01,6.658874463117123166e-02
8.200000000000000000e+01,6.658874463117123166e-02
8.300000000000000000e+01,6.658874463117123166e-02
8.400000000000000000e+01,6.658874463117123166e-02
8.500000000000000000e+01,6.658874463117123166e-02
8.600000000000000000e+01,6.658874255347649318e-02
8.700000000000000000e+01,6.658154231252685906e-02
8.800000000000000000e+01,6.658034227236858671e-02
8.900000000000000000e+01,6.658017398146798271e-02
9.000000000000000000e+01,6.657777390115143801e-02
9.100000000000000000e+01,6.657417378067663483e-02
9.200000000000000000e+01,6.657417378067663483e-02
9.300000000000000000e+01,6.657417378067663483e-02
9.400000000000000000e+01,6.657417378067663483e-02
9.500000000000000000e+01,6.657417378067663483e-02
9.600000000000000000e+01,6.657057366020181777e-02
9.700000000000000000e+01,6.657057366020181777e-02
9.800000000000000000e+01,6.657056692911969553e-02
9.900000000000000000e+01,6.657056692911969553e-02
1.000000000000000000e+02,6.657037942284496634e-02
1.010000000000000000e+02,6.656797934252842164e-02
1.020000000000000000e+02,6.656797934252842164e-02
1.030000000000000000e+02,6.656797934252842164e-02
1.040000000000000000e+02,6.656772638309535473e-02
