# iteration,cost
0.000000000000000000e+00,3.162707248122610393e-01
1.000000000000000000e+00,3.112038169281003963e-01
2.000000000000000000e+00,3.092094354131899592e-01
3.000000000000000000e+00,3.084304630091287414e-01
4.000000000000000000e+00,3.044762125257972629e-01
5.000000000000000000e+00,3.023080571309171849e-01
6.000000000000000000e+00,3.020190379801537817e-01
7.000000000000000000e+00,3.014120123792934369e-01
8.000000000000000000e+00,2.994497593069273544e-01
9.000000000000000000e+00,2.994434103372401457e-01
1.000000000000000000e+01,2.992229986702894529e-01
1.100000000000000000e+01,2.983570947874316093e-01
1.200000000000000000e+01,2.972155709887520092e-01
1.300000000000000000e+01,2.972031785048389607e-01
1.400000000000000000e+01,2.939940035147811659e-01
1.500000000000000000e+01,2.938426800255776183e-01
1.600000000000000000e+01,2.933445153304812814e-01
1.700000000000000000e+01,2.933424630377590159e-01
1.800000000000000000e+01,2.931311693849970590e-01
1.900000000000000000e+01,2.929462311223928750e-01
2.000000000000000000e+01,2.923950010495109941e-01
2.100000000000000000e+01,2.922506008489006990e-01
2.200000000000000000e+01,2.917359930703790072e-01
2.300000000000000000e+01,2.917359167908706308e-01
2.400000000000000000e+01,2.916958544738878500e-01
2.500000000000000000e+01,2.915389182205612717e-01
2.600000000000000000e+01,2.911609006648260833e-01
2.700000000000000000e+01,2.910104996709170222e-01
2.800000000000000000e+01,2.908160075141623113e-01
2.900000000000000000e+01,2.902806240780696490e-01
3.000000000000000000e+01,2.902721154299214845e-01
3.100000000000000000e+01,2.895974494852875947e-01
3.200000000000000000e+01,2.895949665313461985e-01
3.300000000000000000e+01,2.889023324774521728e-01
3.400000000000000000e+01,2.887814930304357097e-01
3.500000000000000000e+01,2.887813282660435799e-01
3.600000000000000000e+01,2.873497451992118035e-01
3.700000000000000000e+01,2.873467721904391925e-01
3.800000000000000000e+01,2.871835977448384813e-01
3.900000000000000000e+01,2.871835977448384813e-01
4.000000000000000000e+01,2.871233728114939154e-01
4.100000000000000000e+01,2.870909326364829983e-01
4.200000000000000000e+01,2.870847306365204021e-01
4.300000000000000000e+01,2.870227680062981679e-01
4.400000000000000000e+01,2.870227680062981679e-01
4.500000000000000000e+01,2.870197211655667879e-01
4.600000000000000000e+01,2.870128666565630038e-01
4.700000000000000000e+01,2.863203422892719452e-01
4.800000000000000000e+01,2.862742529386276824e-01
4.900000000000000000e+01,2.862742529386276824e-01
5.000000000000000000e+01,2.862664941033944976e-01
5.100000000000000000e+01,2.862571967101115722e-01
5.200000000000000000e+01,2.858467881177495507e-01
5.300000000000000000e+01,2.853874875678629186e-01
5.400000000000000000e+01,2.853873439369704612e-01
5.500000000000000000e+01,2.853317335406127531e-01
5.600000000000000000e+01,2.853281776338684184e-01
5.700000000000000000e+01,2.852702506546617722e-01
5.800000000000000000e+01,2.852569263754708428e-01
5.900000000000000000e+01,2.850276891327808704e-01
6.000000000000000000e+01,2.850237144544752188e-01
6.100000000000000000e+01,2.846934829016368740e-01
6.200000000000000000e+01,2.846099633545715046e-01
6.300000000000000000e+01,2.845989426737051686e-01
6.400000000000000000e+01,2.845928522270573802e-01
6.500000000000000000e+01,2.845388081390274881e-01
6.600000000000000000e+01,2.843374533214937383e-01
6.700000000000000000e+01,2.843350532411772491e-01
6.800000000000000000e+01,2.841758017640098610e-01
6.900000000000000000e+01,2.840184896486575017e-01
7.000000000000000000e+01,2.840175177256741845e-01
7.100000000000000000e+01,2.840140548941175180e-01
7.200000000000000000e+01,2.839893820217330167e-01
7.300000000000000000e+01,2.839871423980922516e-01
7.400000000000000000e+01,2.839399207627767985e-01
7.500000000000000000e+01,2.839385317574457113e-01
7.600000000000000000e+01,2.839035576685616236e-01
7.700000000000000000e+01,2.839035401221536858e-01
7.800000000000000000e+01,2.839035401221536858e-01
7.900000000000000000e+01,2.838795433760455955e-01
8.000000000000000000e+01,2.838640693995447828e-01
8.100000000000000000e+01,2.838627132094270755e-01
8.200000000000000000e+01,2.838445820277381570e-01
8.300000000000000000e+01,2.829514656050192700e-01
8.400000000000000000e+01,2.829461890042603289e-01
8.500000000000000000e+01,2.829358691369021628e-01
8.600000000000000000e+01,2.829346690967438627e-01
8.700000000000000000e+01,2.829316246085438191e-01
8.800000000000000000e+01,2.824896139045773857e-01
8.900000000000000000e+01,2.824884138642879683e-01
9.000000000000000000e+01,2.824872138687779533e-01
9.100000000000000000e+01,2.824848209320774406e-01
9.200000000000000000e+01,2.824041636939635946e-01
9.300000000000000000e+01,2.824031086305552329e-01
9.400000000000000000e+01,2.824030467123129773e-01
9.500000000000000000e+01,2.824006466319964881e-01
9.600000000000000000e+01,2.824006457465562669e-01
9.700000000000000000e+01,2.824006457465562669e-01
9.800000000000000000e+01,2.823994457063979668e-01
9.900000000000000000e+01,2.823872188211546952e-01
1.000000000000000000e+02,2.823848458137262485e-01
1.010000000000000000e+02,2.823845340764125633e-01
1.020000000000000000e+02,2.823351421696061458e-01
1.030000000000000000e+02,2.823299878033096455e-01
1.040000000000000000e+02,2.823296894863994710e-01
1.050000000000000000e+02,2.823284896787066622e-01
1.060000000000000000e+02,2.823284896787066622e-01
1.070000000000000000e+02,2.823284629412793345e-01
1.080000000000000000e+02,2.823216306786158203e-01
1.090000000000000000e+02,2.823061332325834116e-01
1.100000000000000000e+02,2.822711719654353302e-01
1.110000000000000000e+02,2.822711719654353302e-01
