0,0.007546
1,0.842434
2,0.308622
3,0.006616
4,0.005878
5,0.006744
6,0.449335
7,0.007717
8,0.221342
9,0.596659
10,0.005494
11,0.006071
12,0.005504
13,0.006894
14,0.530644
15,0.006936
16,0.006017
17,0.006370
18,0.260152
19,0.005814
20,0.007225
21,0.006028
22,0.005707
23,0.093062
24,0.006306
25,0.006648
26,0.005793
27,0.007460
28,0.490299
29,0.625617
30,0.006648
31,0.005600
32,0.005290
33,0.007214
34,0.494971
35,0.006701
36,0.006530
37,0.006231
38,0.006851
39,0.824380
40,0.006295
41,0.007375
42,0.007033
43,0.006605
44,0.092412
45,0.006156
46,0.007139
47,0.005633
48,0.006958
49,0.241472
50,0.006498
51,0.005814
52,0.006915
53,0.007172
54,0.259732
55,0.006936
56,0.007118
57,0.006701
58,0.006434
59,0.581942
60,0.006573
61,0.006156
62,0.007663
63,0.007268
64,0.488910
65,0.006071
66,0.007033
67,0.006156
68,0.006231
69,0.688581
70,0.006113
71,0.006968
72,0.007054
73,0.006423
74,0.448106
75,0.006338
76,0.006926
77,0.006733
78,0.294395
79,0.006584
80,0.006733
81,0.005814
82,0.005836
83,0.007172
84,0.397259
85,0.006573
86,0.007246
87,0.007182
88,0.005889
89,0.218428
90,0.009469
91,1.950915
92,0.006156
93,0.006274
94,0.005130
95,0.005130
96,0.005782
97,0.005419
98,0.005665
99,0.005013
100,0.006124
101,0.006413
102,0.004788
103,0.006167
104,0.006017
105,0.006584
106,0.005900
107,0.005269
108,0.005814
109,0.006060
110,0.004136
111,0.005248
112,0.005258
113,0.005483
114,0.005269
115,0.006530
116,0.006220
117,0.006263
118,0.007043
119,0.006317
120,0.005226
121,0.005750
122,0.006797
123,0.006263
124,0.005194
125,0.005344
126,0.005216
127,0.007214
128,0.006872
129,0.005141
130,0.006349
131,0.005686
132,0.006263
133,0.006349
134,0.005857
135,0.005836
136,0.005184
137,0.006156
138,0.006434
139,0.005109
140,0.005975
141,0.005814
142,0.005857
143,0.005729
144,0.006605
145,0.006156
146,0.006306
147,0.004863
148,0.005355
149,0.006242
150,0.005408
151,0.005814
152,0.005130
153,0.005771
154,0.007150
155,0.005365
156,0.005397
157,0.005975
158,0.005280
159,0.004788
160,0.005857
161,0.006071
162,0.006220
163,0.007246
164,0.006787
165,0.006477
166,0.006156
167,0.005130
168,0.006755
169,0.005793
170,0.004874
171,0.006017
172,0.005472
173,0.006124
174,0.005825
175,0.006242
176,0.006263
177,0.005686
178,0.006007
179,0.004906
180,0.005130
181,0.005472
182,0.005932
183,0.005301
184,0.006530
185,0.006220
186,0.005130
187,0.007385
188,0.005889
189,0.005718
190,0.005536
191,0.005600
192,0.005568
193,0.006530
194,0.005536
195,0.005665
196,0.005878
197,0.006017
198,0.005996
199,0.006092
200,0.005675
201,0.005686
202,0.005226
203,0.006477
204,0.005900
205,1.510132
206,0.007118
207,0.006167
208,0.005718
209,0.007468
210,0.006295
211,0.005814
212,0.005568
213,0.006167
214,0.006990
215,0.006028
216,0.006498
217,0.006733
218,0.007588
219,0.190134
220,0.006092
221,0.006840
222,0.006669
223,0.006231
224,0.238925
225,0.006594
226,0.006370
227,0.008037
228,0.006349
229,0.071793
230,0.007449
231,0.005729
232,0.007054
233,0.006498
234,0.348890
235,0.006124
236,0.005323
237,0.007225
238,0.007182
239,0.102726
240,0.006680
241,0.006178
242,0.006573
243,0.007182
244,0.158686
245,0.007300
246,0.006541
247,0.006947
248,0.006605
249,0.501634
250,0.543970
251,0.005547
252,0.006156
253,0.005910
254,0.006359
255,0.375916
256,0.006252
257,0.006840
258,0.006092
259,0.006947
260,0.354952
261,0.005921
262,0.007043
263,0.006701
264,0.006659
265,0.545494
266,0.006498
267,0.007535
268,0.005975
269,0.007514
270,0.153857
271,0.006146
272,0.006178
273,0.006391
274,0.006156
275,0.007623
276,0.006584
277,0.006840
278,0.005889
279,0.007001
280,0.869986
281,0.070825
282,0.006584
283,0.008198
284,0.007524
285,0.006872
286,0.007703
287,0.007182
288,0.006691
289,0.006466
290,0.006979
291,0.008347
292,0.007289
293,0.006904
294,0.006370
295,0.006926
296,0.005857
297,0.509606
298,0.006765
299,0.006092
300,0.005087
301,0.006317
302,0.103756
303,0.005964
304,0.006488
305,0.006573
306,0.007396
307,0.355763
308,0.333352
309,1.319815
310,0.005932
311,0.006413
312,0.005729
313,0.006819
314,0.452842
315,0.006659
316,0.006413
317,0.006284
318,0.006605
319,0.008544
320,0.006744
321,0.007460
322,0.005547
323,0.006926
324,0.639617
325,0.007343
326,0.007332
327,0.006498
328,0.005739
329,0.294874
330,0.006445
331,0.006819
332,0.006156
333,0.006081
334,0.334704
335,0.006926
336,0.006509
337,0.006701
338,0.006242
339,0.445124
340,0.007375
341,0.007845
342,0.006669
343,0.006039
344,0.500307
345,0.006990
346,0.006049
347,0.007065
348,0.007001
349,0.005515
350,0.006755
351,0.007343
352,0.006584
353,0.619186
354,0.007642
355,0.007567
356,0.007674
357,0.006445
358,0.007001
359,0.427191
360,0.006776
361,0.007620
362,0.006616
363,0.006787
364,0.092771
365,0.005921
366,0.006787
367,0.007214
368,0.006594
369,0.113125
370,0.184034
371,0.313019
372,0.006402
373,0.005814
374,0.006338
375,0.006904
376,0.187944
377,0.006787
378,0.005376
379,0.005836
380,0.301002
381,0.006338
382,0.005975
383,0.006541
384,0.007460
385,0.309393
386,0.006188
387,0.006552
388,0.007193
389,0.006402
390,0.328375
391,0.007631
392,0.007524
393,0.006680
394,0.008091
395,1.119908
396,0.006862
397,0.005675
398,0.006520
399,0.006573
400,0.526076
401,0.006477
402,0.006787
403,0.005814
404,0.006146
405,0.522529
406,0.006594
407,0.006904
408,0.005216
409,0.005846
410,0.101350
411,0.007075
412,0.006274
413,0.007086
414,0.006349
415,0.377588
416,0.006188
417,0.006541
418,0.006156
419,0.005750
420,0.147748
421,0.007246
422,0.005836
423,0.006894
424,0.006156
425,0.137379
426,0.006242
427,0.006498
428,0.007193
429,0.006306
430,0.223530
431,0.007054
432,0.007439
433,0.006295
434,0.005814
435,0.355198
436,0.007161
437,0.006990
438,0.007214
439,0.005633
440,0.480575
441,0.006124
442,0.006498
443,0.005846
444,0.006915
445,0.242310
446,0.007033
447,0.006381
448,0.006947
449,0.046502
450,0.006113
451,0.007289
452,0.007471
453,0.005568
454,0.598601
455,0.230254
456,0.007033
457,0.006039
458,0.007118
459,0.006199
460,0.323873
461,0.005590
462,0.007428
463,0.006712
464,0.006840
465,0.411626
466,0.007268
467,0.005910
468,0.005921
469,0.006199
470,0.548795
471,0.007022
472,0.006156
473,0.006979
474,0.005910
475,0.604403
476,0.007214
477,0.007107
478,0.007236
479,0.006915
480,0.008412
481,0.006220
482,0.005526
483,0.007866
484,0.006659
485,0.364715
486,0.008016
487,0.008422
488,0.008112
489,0.006573
490,0.005932
491,0.211143
492,0.005665
493,0.005932
494,0.006039
495,0.006851
496,0.050520
497,0.006317
498,0.006958
499,0.006723
500,0.594989
501,0.006498
502,0.006733
503,0.006968
504,0.007524
505,0.754318
506,0.007813
507,0.006220
508,0.006562
509,0.006498
510,0.006263
511,0.051588
512,0.005515
513,0.201926
514,0.006819
515,0.007364
516,0.006669
517,0.089198
518,0.006274
519,0.006455
520,0.006990
521,0.007172
522,0.291775
523,0.007065
524,0.006648
525,0.005387
526,0.006445
527,0.342043
528,0.006263
529,0.006990
530,0.006530
531,0.006562
532,0.191342
533,0.007332
534,0.006562
535,0.006156
536,0.077714
537,0.006359
538,0.007310
539,0.005846
540,0.006071
541,0.006616
542,0.230147
543,0.005365
544,0.007727
545,0.006370
546,0.006862
547,0.007450
548,0.007097
549,0.006338
550,0.005996
551,0.006851
552,0.107193
553,0.006210
554,0.006156
555,0.007054
556,0.005344
557,0.006413
558,0.006819
559,0.007300
560,0.006295
561,0.041151
562,0.005953
563,0.006188
564,0.005344
565,0.007385
566,0.076291
567,0.006552
568,0.004361
569,0.005846
570,0.006659
571,0.006830
572,0.007417
573,0.433011
574,0.006477
575,0.007685
576,0.006081
577,0.006680
578,0.543098
579,0.007310
580,0.007107
581,0.006434
582,0.080246
583,0.007107
584,0.007225
585,0.006872
586,0.005953
587,0.189843
588,0.006541
589,0.007428
590,0.006637
591,0.005836
592,0.236278
593,0.005900
594,0.006691
595,0.006434
596,0.005814
597,0.262239
598,0.946748
599,0.005846
600,0.006926
601,0.007246
602,0.006306
603,0.006498
604,0.007075
605,0.005098
606,0.006156
607,0.006252
608,0.007172
609,0.239691
610,0.005729
611,0.006530
612,0.006199
613,0.275806
614,0.007973
615,0.008208
616,0.007225
617,0.007663
618,0.007364
619,0.126541
620,0.977313
621,0.007278
622,0.007428
623,0.006947
624,0.005793
625,0.266814
626,0.005996
627,0.006765
628,0.006616
629,0.369859
630,0.005579
631,0.006156
632,0.007845
633,0.007097
634,0.531892
635,0.007610
636,0.007161
637,0.006413
638,0.006616
639,0.132072
640,0.005472
641,0.006744
642,0.005558
643,0.006659
644,0.351603
645,0.006947
646,0.005718
647,0.007075
648,0.007011
649,0.574202
650,0.007204
651,0.006295
652,0.006605
653,0.006840
654,0.008465
655,0.280927
656,0.006520
657,0.006263
658,0.006872
659,0.006509
660,0.006720
661,0.006039
662,0.007172
663,0.006242
664,0.006252
665,0.233693
666,0.090973
667,0.007503
668,0.006295
669,0.007791
670,0.007738
671,0.006712
672,0.006413
673,0.007193
674,0.006381
675,0.006840
676,0.063348
677,0.006979
678,0.007022
679,0.006947
680,0.006584
681,0.470817
682,0.399650
683,0.007770
684,0.005633
685,0.007150
686,0.005814
687,0.006188
688,0.379163
689,0.006274
690,0.006210
691,0.006156
692,0.006840
693,0.367071
694,1.362349
695,0.005836
696,0.007150
697,0.007182
698,0.007289
699,0.054694
700,0.005558
701,0.006434
702,0.007236
703,0.006926
704,0.390518
705,0.006723
706,0.006242
707,0.006744
708,0.006669
709,0.354263
710,0.007182
711,0.006156
712,0.006252
713,0.005162
714,0.069394
715,0.007984
716,0.005942
717,0.006958
718,0.006049
719,1.096945
720,0.007653
721,0.007898
722,0.007524
723,0.007856
724,0.012583
725,0.007407
726,0.007471
727,0.006413
728,0.006626
729,0.653287
730,0.215255
731,0.006797
732,0.241635
733,0.004574
734,0.006156
735,0.006765
736,0.235129
737,0.006616
738,0.006840
739,0.007086
740,0.005184
741,0.604332
742,0.518684
743,0.538659
744,0.006904
745,0.006210
746,0.006915
747,0.007674
748,0.523352
749,0.007182
750,0.006733
751,0.006947
752,0.006135
753,0.986207
754,0.005857
755,0.006370
756,0.007888
757,0.006840
758,0.494955
759,0.006156
760,0.005964
761,0.006113
762,0.006210
